Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOC AdjEM,SOC OppO,SOC OppD,NCSOS AdjEM
239,Columbia,Ivy,10-16,-6.93,91.2,98.1,59.3,-.035,-3.96,101.3,105.2,-2.57
240,Northwestern St.,Slnd,12-18,-7.13,100.5,107.6,70.6,-.006,-3.63,100.6,104.3,+5.50
241,VMI,SC,7-18,-7.23,99.3,106.5,77.7,+.015,+2.14,103.9,101.8,+8.63
242,Delaware St.,MEAC,15-13,-7.34,99.6,106.9,62.8,+.010,-9.99,97.3,107.3,-2.50
243,UMBC,NEC,20-9,-7.37,96.1,103.4,70.6,+.062,-12.91,96.4,109.3,-5.92
244,Wofford,SC,7-18,-7.70,94.1,101.8,67.3,+.015,+2.75,104.5,101.7,+8.52
245,Jacksonville St.,ASun,13-16,-7.92,101.5,109.4,66.2,-.027,-7.24,99.7,107.0,-17.63
246,Tennessee Martin,OVC,11-14,-7.93,99.4,107.3,71.3,+.077,-2.88,102.9,105.8,+2.49
247,Lamar,Slnd,15-14,-8.02,98.4,106.4,69.6,+.063,-6.68,98.7,105.4,-4.35
248,Texas A&M Corpus Chris,ind,10-15,-8.08,101.3,109.3,73.5,-.009,-5.00,100.0,105.0,-0.84
249,Portland St.,BSky,11-16,-8.10,104.6,112.7,69.1,+.083,-0.79,103.1,103.9,+4.81
250,UT Arlington,Slnd,11-15,-8.37,102.2,110.6,72.1,+.007,-4.92,99.8,104.7,+3.65
251,San Jose St.,WAC,9-20,-8.43,98.7,107.1,63.2,+.050,+2.40,104.1,101.7,-4.30
252,Alcorn St.,SWAC,20-10,-8.71,100.1,108.8,73.0,+.097,-14.53,95.3,109.8,+2.60
253,UC Riverside,BW,7-18,-8.86,99.0,107.9,67.3,-.020,+0.71,103.5,102.8,+4.39
254,St. Francis NY,NEC,18-11,-8.96,100.4,109.4,73.6,+.031,-13.23,96.4,109.7,-7.89
255,South Alabama,SB,5-21,-9.00,96.0,105.0,66.8,-.117,-0.08,102.3,102.4,+0.65
256,Denver,SB,7-20,-9.06,99.0,108.1,66.0,-.085,-1.06,102.3,103.3,-4.22
257,Canisius,MAAC,10-20,-9.09,96.5,105.6,66.2,-.058,-4.75,99.9,104.6,-1.46
258,Portland,WCC,6-24,-9.16,97.3,106.4,73.1,-.027,+0.26,103.5,103.2,-1.86
259,Quinnipiac,NEC,14-16,-9.27,100.8,110.1,74.5,-.045,-11.13,97.1,108.3,-5.05
260,Western Illinois,MCon,10-16,-9.31,102.5,111.8,68.7,+.015,-4.25,101.9,106.2,-8.54
261,Stephen F. Austin,Slnd,12-15,-9.40,93.9,103.3,63.1,+.015,-6.55,99.4,105.9,-3.10
262,Alabama A&M,SWAC,17-10,-9.53,92.2,101.7,79.0,+.002,-18.64,92.8,111.5,-15.03
263,UNC Asheville,BSth,12-14,-9.70,98.9,108.6,68.5,+.051,-7.14,98.6,105.8,+4.52
264,Loyola Marymount,WCC,8-20,-9.86,99.1,109.0,68.8,+.014,-0.21,103.7,103.9,-3.25
265,Evansville,MVC,7-21,-9.89,98.0,107.9,69.2,+.004,+0.88,105.5,104.6,+0.17
266,South Carolina St.,MEAC,14-15,-10.49,96.2,106.7,68.1,+.109,-7.00,99.9,106.9,+6.43
267,Idaho St.,BSky,8-17,-10.74,96.6,107.3,69.0,+.015,-4.08,101.7,105.8,-3.26
268,Stetson,ASun,9-16,-11.01,98.1,109.1,72.3,+.055,-3.42,103.1,106.5,+8.97
269,Bucknell,Pat,13-16,-11.27,94.5,105.8,65.5,+.060,-7.64,97.8,105.4,-5.12
270,Navy,Pat,9-20,-11.52,94.1,105.6,70.8,-.089,-6.30,100.2,106.4,-3.27
271,North Carolina A&T,MEAC,10-17,-11.86,92.8,104.7,70.4,+.024,-7.02,99.7,106.7,+7.00
272,Alabama St.,SWAC,18-12,-12.62,90.1,102.7,63.1,+.081,-14.95,95.8,110.8,-5.12
273,Southeast Missouri St.,OVC,4-22,-12.66,101.4,114.0,67.4,-.117,-2.79,103.2,106.0,-0.89
274,Hartford,AE,14-18,-12.84,91.9,104.7,65.5,+.050,-8.88,98.3,107.1,-2.44
275,Towson,CAA,11-18,-12.90,90.4,103.3,66.7,+.113,-2.34,101.1,103.4,-5.99
276,Sacramento St.,BSky,7-19,-13.03,96.6,109.6,73.3,-.076,-6.94,99.6,106.6,-10.20
277,Idaho,BW,8-19,-13.40,92.3,105.7,59.3,+.062,-1.26,102.6,103.8,-4.42
278,Charleston Southern,BSth,10-17,-13.46,90.7,104.2,67.3,+.016,-6.83,98.8,105.6,+7.77
279,Northeastern,AE,7-21,-13.50,98.1,111.6,72.3,-.129,-9.17,97.2,106.4,-3.23
280,Florida A&M,MEAC,9-19,-13.50,93.8,107.3,69.4,-.019,-6.80,98.8,105.6,+11.52
281,Elon,BSth,11-16,-13.55,91.1,104.7,72.1,+.048,-8.35,98.0,106.3,+5.87
